gemeente;gemeente_id;bureau_id;bureau_label;bureau_zip_opgezocht;Lat;Long;total_counted;cast;percentage_gestemd;percentage_gestemd_95_100;percentage_gestemd_65_95;percentage_gestemd_tot_65;aantal_niet_gestemd;VVD;PvDA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50PLUS;OndernemersPartij;VNL (VoorNederland);DENK;Forum voor Democratie;De Burger Beweging;Vrijzinnige Partij;GeenPeil;Piratenpartij;Libertarische Partij (LP);Lokaal in de Kamer;Artikel 1;grootste_partij_w;tweede_grootste_partij_w;derde_grootste_partij_w;grootste_partij;tweede_grootste_partij;derde_grootste_partij;INWONER;MAN;VROUW;INW_014;INW_1524;INW_2544;INW_4564;INW_65PL;P_NL_ACHTG;P_WE_MIG_A;P_NW_MIG_A;AANTAL_HH;TOTHH_EENP;TOTHH_MPZK;HH_EENOUD;HH_TWEEOUD;GEM_HH_GR;WONING;WONVOOR45;WON_4564;WON_6574;WON_7584;WON_8594;WON_9504;WON_0514;WON_1524;P_HUURWON;P_KOOPWON;WON_HCORP;WON_MRGEZ;WON_NBEW;WOZWONING;G_GAS_WON;G_ELEK_WON
Stadskanaal;37;0037::SB10;OBS De Oleander;9501VX;53,00017491;6,934819327;1359;1370;0,991970803;1;0;0;11;228;104;201;200;223;119;76;88;10;15;46;0;4;0;29;1;1;0;4;0;2;0;1;5;3;VVD;CDA;PVV;25;10;15;10;;10;;;100;;;10;;;;5;2,8;10;;;;;;;;;;80;;;;157;1920;4490
Stadskanaal;37;0037::SB11;Westerschoor;9501XC;53,0133833;6,914915811;1000;1918;0,521376434;0;0;1;918;132;58;232;197;119;55;47;37;7;24;43;3;2;1;25;4;0;0;9;0;3;0;3;4;1;PVV;SP;VVD;30;15;15;5;;10;10;;90;;;10;;;;5;2,6;10;10;;;;;;;;;100;;;;171;2080;4190
Stadskanaal;37;0037::SB12;Parochiehuis;9581JD;52,94312313;6,999005579;1081;1737;0,622337363;0;0;1;656;114;51;267;224;146;63;56;42;12;18;44;2;7;0;18;2;0;2;5;0;2;0;3;4;5;PVV;SP;CDA;50;30;20;10;10;10;20;5;100;;;20;5;10;;5;2,5;20;20;;;;;;;;;80;;;;142;2230;4120
Stadskanaal;37;0037::SB13;Musselhorst;9581CZ;52,93712489;7,009974293;937;1342;0,698211624;0;1;0;405;92;67;220;221;127;48;44;46;8;10;28;2;5;0;12;0;0;0;3;0;1;0;4;3;5;SP;PVV;CDA;10;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;149;;
Stadskanaal;37;0037::SB14;MFA Lint;9581DG;52,92994202;7,015883913;1050;1484;0,70754717;0;1;0;434;105;76;217;217;187;47;59;26;18;12;61;0;4;1;12;0;2;0;2;1;2;0;3;3;5;PVV;PVV;CDA;30;15;15;;;;;30;90;;;25;20;5;;;1,3;25;;;;;25;;;;;;;25;;84;720;1510
Stadskanaal;37;0037::SB15;A-Horst Zorgcentrum;9581EN;52,92770707;7,023594981;796;1078;0,738404453;0;1;0;282;179;62;136;127;141;34;29;23;10;9;33;1;2;1;5;1;0;0;1;0;1;0;1;5;3;VVD;CDA;PVV;75;20;55;;;;5;70;100;;;25;20;5;;;1,2;75;;;50;;10;10;;;100;;20;50;10;;1290;1710
Stadskanaal;37;0037::SB16;Chr Gereformeerde Kerk Â Mussel;9584AR;52,95656513;7,04077942;955;1190;0,802521008;0;1;0;235;61;32;100;70;177;26;359;27;46;18;13;1;1;0;20;0;0;1;1;0;2;0;7;5;3;CU;CDA;PVV;35;20;15;5;;10;10;5;90;;;15;;;;10;2,8;15;;;;10;;;;;;90;;;;129;1930;3430
Stadskanaal;37;0037::SB17;d Ekkelkaamp;9591AH;53,03138929;7,042683887;866;1198;0,722871452;0;1;0;332;71;47;64;50;279;38;157;49;41;32;19;0;2;0;12;0;0;0;1;0;2;0;5;7;1;CDA;CU;VVD;40;15;25;5;;5;15;15;100;;;20;10;5;;;2;20;10;;;;5;;;;50;50;5;;;168;1900;1970
Stadskanaal;37;0037::SB18;Brinkhof Dorpsstraat 3A;9591AR;53,03522813;7,041854262;990;1072;0,923507463;0;1;0;82;69;26;98;101;374;37;176;28;31;15;22;1;4;0;8;0;0;0;0;0;0;0;5;7;4;CDA;CU;SP;55;25;30;5;5;10;15;15;90;10;;20;;10;;10;2,7;40;30;5;;;;;;;60;40;;20;25;;2930;4050
Stadskanaal;37;0037::SB19;De Drijscheer;9661TV;53,05302138;7,010981509;718;936;0,767094017;0;1;0;218;49;61;138;116;139;41;46;47;3;19;38;2;1;1;14;0;0;0;2;0;0;0;5;3;4;CDA;PVV;SP;10;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;163;;
